epoch,train_loss,val_auc,val_auprc,val_acc,val_f1,challenge_score,epoch_time_sec,lr
1,0.442347,0.838938,0.31233,0.963608,0.0,0.391304,169.9,0.00029815
2,0.391569,0.851074,0.592711,0.963608,0.0,0.652174,130.8,0.00029266
3,0.370629,0.899622,0.73991,0.97943,0.697674,0.695652,127.0,0.00028365
4,0.358313,0.879774,0.675832,0.977848,0.588235,0.695652,134.5,0.00027135
5,0.362376,0.909831,0.716933,0.97943,0.606061,0.73913,116.5,0.00025607
6,0.350345,0.926108,0.782558,0.984177,0.722222,0.73913,122.2,0.00023817
7,0.353021,0.893553,0.700259,0.969937,0.641509,0.73913,135.5,0.0002181
8,0.35458,0.93489,0.751224,0.97943,0.697674,0.73913,115.9,0.00019635
9,0.352285,0.901335,0.748241,0.984177,0.722222,0.695652,119.9,0.00017347
10,0.341009,0.946455,0.806738,0.985759,0.769231,0.73913,140.5,0.00015
11,0.335645,0.946598,0.817548,0.987342,0.8,0.782609,129.3,0.00012653
12,0.337158,0.949668,0.833197,0.988924,0.820513,0.782609,117.9,0.00010365
13,0.337436,0.940316,0.81372,0.987342,0.789474,0.782609,115.8,8.19e-05
14,0.331405,0.929392,0.827688,0.987342,0.789474,0.826087,115.2,6.183e-05
15,0.331539,0.937174,0.827861,0.987342,0.789474,0.782609,113.1,4.393e-05
16,0.329202,0.943814,0.817544,0.988924,0.820513,0.782609,114.7,2.865e-05
17,0.329144,0.93746,0.804652,0.987342,0.8,0.73913,115.2,1.635e-05
18,0.327489,0.940173,0.807978,0.987342,0.8,0.73913,114.2,7.34e-06
19,0.327793,0.940173,0.805931,0.987342,0.8,0.73913,126.7,1.85e-06
20,0.327794,0.939816,0.808109,0.987342,0.8,0.73913,135.3,0.0
