epoch,train_loss,train_acc,val_loss,val_acc
1,1.628283,0.373981,1.517566,0.474118
2,1.449227,0.497589,1.405348,0.558406
3,1.355288,0.550235,1.314592,0.546954
4,1.305323,0.571306,1.302894,0.592304
5,1.255826,0.585946,1.276157,0.562529
6,1.226795,0.592778,1.227983,0.577645
7,1.194982,0.599724,1.253601,0.553825
8,1.165291,0.602423,1.231594,0.587723
9,1.143313,0.612412,1.276598,0.603298
10,1.112302,0.615111,1.205939,0.601924
11,1.092617,0.620106,1.239415,0.605589
12,1.081919,0.623148,1.227597,0.607421
13,1.066098,0.632736,1.207722,0.602382
14,1.053574,0.628545,1.262265,0.584517
15,1.024411,0.636124,1.258363,0.595511
16,1.016091,0.639166,1.287822,0.581768
17,0.994114,0.642037,1.300927,0.608337
18,0.977787,0.646515,1.287964,0.600550
19,0.969529,0.650878,1.371298,0.619789
20,0.953822,0.651969,1.291363,0.599634
